Image_name,index,gps_coordinate
images_00000.png,0,"[-27.5067225, 152.91145283333333]"
images_00001.png,1,"[-27.506742, 152.91157883333332]"
images_00002.png,2,"[-27.506762333333334, 152.91171066666666]"
images_00003.png,3,"[-27.506783333333335, 152.91184333333334]"
images_00004.png,4,"[-27.506805, 152.91197666666667]"
images_00005.png,5,"[-27.506826833333335, 152.91211166666668]"
images_00006.png,6,"[-27.50684783333333, 152.912249]"
images_00007.png,7,"[-27.506869333333334, 152.912389]"
images_00008.png,8,"[-27.506890666666667, 152.91253483333332]"
images_00009.png,9,"[-27.506912833333335, 152.912683]"
images_00010.png,10,"[-27.506934833333332, 152.91283333333334]"
images_00011.png,11,"[-27.506957166666666, 152.91298283333333]"
images_00012.png,12,"[-27.506980333333335, 152.91312833333333]"
images_00013.png,13,"[-27.507002, 152.9132725]"
images_00014.png,14,"[-27.507025166666665, 152.913415]"
images_00015.png,15,"[-27.507048333333334, 152.91355633333333]"
images_00016.png,16,"[-27.50707, 152.91369733333335]"
images_00017.png,17,"[-27.507090833333333, 152.91383766666667]"
images_00018.png,18,"[-27.507112, 152.91397666666666]"
images_00019.png,19,"[-27.507133833333334, 152.914114]"
images_00020.png,20,"[-27.507153333333335, 152.91425016666668]"
images_00021.png,21,"[-27.5071735, 152.91438333333332]"
images_00022.png,22,"[-27.507193833333332, 152.91450683333332]"
images_00023.png,23,"[-27.50721, 152.91461666666666]"
images_00024.png,24,"[-27.50721, 152.91461666666666]"
images_00025.png,25,"[-27.507221333333334, 152.91477266666666]"
images_00026.png,26,"[-27.507221333333334, 152.91477266666666]"
images_00027.png,27,"[-27.507221333333334, 152.91477266666666]"
images_00028.png,28,"[-27.507221333333334, 152.91477266666666]"
images_00029.png,29,"[-27.507221333333334, 152.91477266666666]"
images_00030.png,30,"[-27.5072245, 152.9149]"
images_00031.png,31,"[-27.5072245, 152.9149]"
images_00032.png,32,"[-27.507298, 152.9149725]"
images_00033.png,33,"[-27.507298, 152.9149725]"
images_00034.png,34,"[-27.50743616666667, 152.91501983333333]"
images_00035.png,35,"[-27.50743616666667, 152.91501983333333]"
images_00036.png,36,"[-27.507619833333333, 152.91506066666668]"
images_00037.png,37,"[-27.5077255, 152.91507516666667]"
images_00038.png,38,"[-27.50784133333333, 152.9150845]"
images_00039.png,39,"[-27.5079635, 152.91508716666667]"
images_00040.png,40,"[-27.508089833333333, 152.91508166666668]"
images_00041.png,41,"[-27.5082185, 152.91506916666665]"
images_00042.png,42,"[-27.5083495, 152.915054]"
images_00043.png,43,"[-27.508480833333333, 152.91503883333334]"
images_00044.png,44,"[-27.508612833333334, 152.915024]"
images_00045.png,45,"[-27.508744833333335, 152.915011]"
images_00046.png,46,"[-27.508876833333332, 152.91500083333332]"
images_00047.png,47,"[-27.509006833333334, 152.91499933333333]"
images_00048.png,48,"[-27.509132333333334, 152.9150115]"
images_00049.png,49,"[-27.50925416666667, 152.91504016666667]"
images_00050.png,50,"[-27.5093735, 152.91508766666666]"
images_00051.png,51,"[-27.509486166666665, 152.91515133333334]"
images_00052.png,52,"[-27.50959183333333, 152.915233]"
images_00053.png,53,"[-27.5096865, 152.91533466666667]"
images_00054.png,54,"[-27.509769, 152.91544833333333]"
images_00055.png,55,"[-27.509838666666667, 152.91557283333333]"
images_00056.png,56,"[-27.509891833333334, 152.9157105]"
images_00057.png,57,"[-27.5099285, 152.915854]"
images_00058.png,58,"[-27.509949833333334, 152.91600216666666]"
images_00059.png,59,"[-27.509962333333334, 152.91615066666665]"
images_00060.png,60,"[-27.50997466666667, 152.91629616666665]"
images_00061.png,61,"[-27.509996333333333, 152.9164385]"
images_00062.png,62,"[-27.510031833333333, 152.91657733333332]"
images_00063.png,63,"[-27.5100815, 152.91671216666666]"
images_00064.png,64,"[-27.5101465, 152.91683916666668]"
images_00065.png,65,"[-27.510216333333332, 152.916966]"
images_00066.png,66,"[-27.510286666666666, 152.917091]"
images_00067.png,67,"[-27.510356666666667, 152.91721483333333]"
images_00068.png,68,"[-27.510425833333333, 152.91733616666667]"
images_00069.png,69,"[-27.510486833333335, 152.91745416666666]"
images_00070.png,70,"[-27.510534, 152.9175675]"
images_00071.png,71,"[-27.5105615, 152.91767516666667]"
images_00072.png,72,"[-27.510570833333333, 152.917775]"
images_00073.png,73,"[-27.510570833333333, 152.917775]"
images_00074.png,74,"[-27.510558166666666, 152.91795466666667]"
images_00075.png,75,"[-27.510558166666666, 152.91795466666667]"
images_00076.png,76,"[-27.510599, 152.91809616666666]"
images_00077.png,77,"[-27.510599, 152.91809616666666]"
images_00078.png,78,"[-27.510725, 152.91815733333334]"
images_00079.png,79,"[-27.510725, 152.91815733333334]"
images_00080.png,80,"[-27.5108725, 152.91809266666667]"
images_00081.png,81,"[-27.5108725, 152.91809266666667]"
images_00082.png,82,"[-27.511036833333332, 152.9179765]"
images_00083.png,83,"[-27.511139666666665, 152.91794066666668]"
images_00084.png,84,"[-27.511251, 152.917921]"
images_00085.png,85,"[-27.511368833333332, 152.91790716666668]"
images_00086.png,86,"[-27.5114925, 152.91789616666668]"
images_00087.png,87,"[-27.511621333333334, 152.91788766666667]"
images_00088.png,88,"[-27.511754166666666, 152.917879]"
images_00089.png,89,"[-27.511891833333333, 152.91786733333333]"
images_00090.png,90,"[-27.512033333333335, 152.91785783333333]"
images_00091.png,91,"[-27.5121745, 152.91785816666666]"
images_00092.png,92,"[-27.5123115, 152.917883]"
images_00093.png,93,"[-27.512437, 152.91793916666666]"
images_00094.png,94,"[-27.512551, 152.91801983333335]"
images_00095.png,95,"[-27.5126525, 152.918124]"
images_00096.png,96,"[-27.512738166666665, 152.9182475]"
images_00097.png,97,"[-27.512817333333334, 152.91837266666667]"
images_00098.png,98,"[-27.5128945, 152.91850033333333]"
images_00099.png,99,"[-27.5129725, 152.9186305]"
images_00100.png,100,"[-27.513050333333332, 152.91875833333333]"
images_00101.png,101,"[-27.513128333333334, 152.91888783333334]"
images_00102.png,102,"[-27.513205833333334, 152.9190175]"
images_00103.png,103,"[-27.513286666666666, 152.91914433333332]"
images_00104.png,104,"[-27.5133715, 152.91926683333332]"
images_00105.png,105,"[-27.513459833333332, 152.91938666666667]"
images_00106.png,106,"[-27.513555666666665, 152.91950233333333]"
images_00107.png,107,"[-27.513660666666667, 152.91960883333334]"
images_00108.png,108,"[-27.513773333333333, 152.91971]"
images_00109.png,109,"[-27.513895666666667, 152.91980616666666]"
images_00110.png,110,"[-27.514018333333333, 152.919901]"
images_00111.png,111,"[-27.514139, 152.91999783333333]"
images_00112.png,112,"[-27.514256, 152.92009483333334]"
images_00113.png,113,"[-27.5143745, 152.92018766666666]"
images_00114.png,114,"[-27.514491666666668, 152.92028083333332]"
images_00115.png,115,"[-27.514609166666666, 152.92037333333334]"
images_00116.png,116,"[-27.514726666666668, 152.92046583333334]"
images_00117.png,117,"[-27.5148455, 152.9205575]"
images_00118.png,118,"[-27.514963666666667, 152.92064866666666]"
images_00119.png,119,"[-27.5150795, 152.920742]"
images_00120.png,120,"[-27.515188166666668, 152.9208455]"
images_00121.png,121,"[-27.515291666666666, 152.92095716666665]"
images_00122.png,122,"[-27.515387333333333, 152.921077]"
images_00123.png,123,"[-27.515478833333333, 152.92120016666667]"
images_00124.png,124,"[-27.51556933333333, 152.92132516666666]"
images_00125.png,125,"[-27.5156605, 152.9214495]"
images_00126.png,126,"[-27.5157525, 152.9215715]"
images_00127.png,127,"[-27.515845166666665, 152.9216945]"
images_00128.png,128,"[-27.515935666666667, 152.92182066666666]"
images_00129.png,129,"[-27.516026, 152.92194816666665]"
images_00130.png,130,"[-27.516107833333333, 152.92207983333333]"
images_00131.png,131,"[-27.516175333333333, 152.9222165]"
images_00132.png,132,"[-27.5162265, 152.9223615]"
images_00133.png,133,"[-27.5162615, 152.922513]"
images_00134.png,134,"[-27.516278333333332, 152.9226695]"
images_00135.png,135,"[-27.516279, 152.92282633333335]"
images_00136.png,136,"[-27.516270666666667, 152.922981]"
images_00137.png,137,"[-27.516261166666666, 152.92313416666667]"
images_00138.png,138,"[-27.5162625, 152.92327866666668]"
images_00139.png,139,"[-27.51627166666667, 152.92342216666665]"
images_00140.png,140,"[-27.516291666666667, 152.9235595]"
images_00141.png,141,"[-27.516326333333332, 152.92368266666668]"
images_00142.png,142,"[-27.516373166666668, 152.9237875]"
images_00143.png,143,"[-27.516431666666666, 152.92387066666666]"
images_00144.png,144,"[-27.516431666666666, 152.92387066666666]"
images_00145.png,145,"[-27.516535333333334, 152.9240035]"
images_00146.png,146,"[-27.516535333333334, 152.9240035]"
images_00147.png,147,"[-27.516570833333333, 152.9241835]"
images_00148.png,148,"[-27.516563833333333, 152.9242925]"
images_00149.png,149,"[-27.516551833333335, 152.92441416666668]"
images_00150.png,150,"[-27.516538, 152.9245485]"
images_00151.png,151,"[-27.51652066666667, 152.92469483333332]"
images_00152.png,152,"[-27.516492333333332, 152.92485316666668]"
images_00153.png,153,"[-27.516447833333334, 152.92501483333334]"
images_00154.png,154,"[-27.516387333333334, 152.925174]"
images_00155.png,155,"[-27.516317, 152.92532966666667]"
images_00156.png,156,"[-27.516243333333332, 152.9254865]"
images_00157.png,157,"[-27.516169, 152.92564516666667]"
images_00158.png,158,"[-27.516094833333334, 152.925804]"
images_00159.png,159,"[-27.516018666666668, 152.925963]"
images_00160.png,160,"[-27.515943, 152.92612316666666]"
images_00161.png,161,"[-27.515869333333335, 152.9262825]"
images_00162.png,162,"[-27.515795, 152.92644233333334]"
images_00163.png,163,"[-27.515720833333333, 152.9266015]"
images_00164.png,164,"[-27.515647, 152.92675983333334]"
images_00165.png,165,"[-27.515574, 152.92691733333334]"
images_00166.png,166,"[-27.515500166666666, 152.92707566666667]"
images_00167.png,167,"[-27.515425166666667, 152.9272355]"
images_00168.png,168,"[-27.515349, 152.92739816666668]"
images_00169.png,169,"[-27.515272666666668, 152.9275615]"
images_00170.png,170,"[-27.515196166666666, 152.927724]"
images_00171.png,171,"[-27.51512, 152.927886]"
images_00172.png,172,"[-27.5150445, 152.9280475]"
images_00173.png,173,"[-27.514970166666668, 152.92821016666667]"
images_00174.png,174,"[-27.5149, 152.92837433333332]"
images_00175.png,175,"[-27.514838, 152.92854]"
images_00176.png,176,"[-27.5147885, 152.92870866666667]"
images_00177.png,177,"[-27.514750166666666, 152.92888233333332]"
images_00178.png,178,"[-27.514750166666666, 152.92888233333332]"
images_00179.png,179,"[-27.514750166666666, 152.92888233333332]"
images_00180.png,180,"[-27.514750166666666, 152.92888233333332]"
images_00181.png,181,"[-27.514706166666667, 152.92959966666666]"
images_00182.png,182,"[-27.514710166666667, 152.92977466666667]"
images_00183.png,183,"[-27.514713166666667, 152.92994733333333]"
images_00184.png,184,"[-27.514714, 152.9301165]"
images_00185.png,185,"[-27.514711833333333, 152.9302825]"
images_00186.png,186,"[-27.514705166666666, 152.93044433333333]"
images_00187.png,187,"[-27.514693, 152.93060333333332]"
images_00188.png,188,"[-27.5146775, 152.93076233333332]"
images_00189.png,189,"[-27.5146595, 152.93092383333334]"
images_00190.png,190,"[-27.514641166666667, 152.93108716666666]"
images_00191.png,191,"[-27.514622166666665, 152.93125266666667]"
images_00192.png,192,"[-27.514603, 152.93141933333334]"
images_00193.png,193,"[-27.5145835, 152.93158583333334]"
images_00194.png,194,"[-27.514564833333335, 152.93175083333333]"
images_00195.png,195,"[-27.514547166666667, 152.93191383333334]"
images_00196.png,196,"[-27.514528666666667, 152.93207533333333]"
images_00197.png,197,"[-27.514508833333334, 152.93223566666666]"
images_00198.png,198,"[-27.514485, 152.9323935]"
images_00199.png,199,"[-27.514445833333333, 152.9325445]"
images_00200.png,200,"[-27.514385166666667, 152.93268166666667]"
images_00201.png,201,"[-27.514300166666665, 152.93280266666667]"
images_00202.png,202,"[-27.514192333333334, 152.93289933333332]"
images_00203.png,203,"[-27.514068666666667, 152.93297066666668]"
images_00204.png,204,"[-27.513934, 152.9330205]"
images_00205.png,205,"[-27.5137945, 152.93306266666667]"
images_00206.png,206,"[-27.513655166666666, 152.933105]"
images_00207.png,207,"[-27.513515333333334, 152.933145]"
images_00208.png,208,"[-27.513375833333335, 152.933186]"
images_00209.png,209,"[-27.5132365, 152.93322833333335]"
images_00210.png,210,"[-27.513098166666666, 152.933279]"
images_00211.png,211,"[-27.512962333333334, 152.933339]"
images_00212.png,212,"[-27.512829166666666, 152.933405]"
images_00213.png,213,"[-27.512698666666665, 152.93347683333334]"
images_00214.png,214,"[-27.512572333333335, 152.93355283333332]"
images_00215.png,215,"[-27.512446666666666, 152.93363316666665]"
images_00216.png,216,"[-27.512322333333334, 152.9337175]"
images_00217.png,217,"[-27.512197166666667, 152.93380216666668]"
