Image_name,index
frame_00086.png,0
frame_00105.png,1
frame_00164.png,2
frame_00193.png,3
frame_00227.png,4
frame_00245.png,5
frame_00290.png,6
frame_00316.png,7
frame_00360.png,8
frame_00403.png,9
frame_00426.png,10
frame_00458.png,11
frame_00494.png,12
frame_00518.png,13
frame_00570.png,14
frame_00618.png,15
frame_00651.png,16
frame_00682.png,17
frame_00706.png,18
frame_00742.png,19
frame_00782.png,20
frame_00826.png,21
frame_00866.png,22
frame_00891.png,23
frame_00920.png,24
frame_00969.png,25
frame_00995.png,26
frame_01008.png,27
frame_01045.png,28
frame_01105.png,29
frame_01148.png,30
frame_01190.png,31
frame_01292.png,32
frame_01331.png,33
frame_01356.png,34
frame_01437.png,35
frame_01470.png,36
